City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
394,kaspiyskiy,45.3929,47.3707,-3.1,94,100,3.45,RU,1706492408
395,st. paul,44.9444,-93.0933,0.46,93,100,3.09,US,1706492244
396,al jawf,29.5,38.75,8.41,56,42,3.03,SA,1706492409
397,balkashino,52.5167,68.7667,-21.57,100,100,1.43,KZ,1706492409
398,tyuratam,45.6507,63.3156,-8.74,78,92,6.81,KZ,1706492409
399,shenjiamen,29.9576,122.298,9.15,65,100,3.69,CN,1706492409
400,uddevalla,58.3478,11.9424,4.99,80,100,1.34,SE,1706492409
401,maryville,35.7565,-83.9705,6.68,84,100,5.14,US,1706492247
402,butere,0.2064,34.4935,17.77,68,18,2.44,KE,1706492410
403,antofagasta,-23.65,-70.4,21.6,84,59,2.2,CL,1706491907
404,rajanpur,29.1035,70.325,12.77,32,2,4.12,PK,1706492410
405,gabu,12.2833,-14.2167,20.4,20,71,0.64,GW,1706492410
406,nova vicosa,-17.8919,-39.3719,24.64,88,100,3.75,BR,1706492410
407,makhambet,47.6667,51.5833,-8.33,78,100,4.35,KZ,1706492411
408,revelstoke,50.9832,-118.2023,1.01,100,100,1.03,CA,1706492411
409,tazovsky,67.4667,78.7,-18.46,97,100,4.48,RU,1706492327
410,barra de santo antonio,-9.4047,-35.5072,26.6,85,100,3.95,BR,1706492411
411,roosevelt,33.9668,-103.4505,7.93,38,39,3.38,US,1706492411
412,thinadhoo,0.5333,72.9333,27.47,71,94,5.72,MV,1706492411
413,nemuro,43.3236,145.575,0.0,79,73,5.18,JP,1706492411
414,kuanda,56.3161,116.0806,-33.23,95,45,0.38,RU,1706492412
415,kiffa,16.6166,-11.4045,19.06,18,21,4.81,MR,1706492412
416,nantucket,41.2835,-70.0995,5.03,96,100,12.09,US,1706492338
417,senanga,-16.1167,23.2667,19.54,71,3,1.91,ZM,1706492412
418,dor marunt,44.45,26.9167,1.48,72,91,6.06,RO,1706492412
419,santiago,-33.4569,-70.6483,26.86,49,0,5.66,CL,1706491938
420,howrah,22.5892,88.3103,13.0,88,20,0.0,IN,1706492412
421,iwanai,42.9744,140.5089,1.95,67,95,2.37,JP,1706492413
422,shelbyville,35.4834,-86.4603,5.57,57,100,4.63,US,1706492137
423,eregli,37.5133,34.0467,-2.31,89,98,1.47,TR,1706492413
